"ID Produit Sellsy";Catégorie;Unité;"Tarif -20%";"Tarif -35%";"Tarif -40%";"Tarif 10%";"Tarif plein";Référence;"Nom commercial";"Prix référence HT";Description; lien; image
1036;CCDAL;PIECE;0,00;0,00;0,00;0,00;0,00;CLIP18BCFL;"CLIP18 CFL-S1 DALLE CONNECTABLE - BLEU - 100x100cm - Ep.17mm";0,00;
1037;CCDAL;PIECE;68,69;55,81;51,52;77,27;85,86;KINGC117X175EP19;"KING DALLE CONNECTABLE - 117x175cm - Ep.19mm";85,86;
1038;CCDAL;PIECE;60,43;49,10;45,32;67,99;75,54;KINGD120X180EP19;"KING DALLE BORDS DROITS - 120x180cm - Ep.19mm";75,54;
1039;CCTAPIS;PIECE;75,10;61,02;56,33;84,49;93,88;MOUSSEPULTX175X100;"MOUSSE 50% PU / 50% LATEX - D160KG - 100x175cm - Ep.40mm";93,88;
103;CCTAPIS;PIECE;9,32;7,57;6,99;10,49;11,65;EBENE4575;"EBENE GRILLE IMIT. FONTE EN CAOUTCH.-45x75cm-Ep.14 mm";11,65;
1040;CCRLX;m2;112,21;91,17;84,16;126,23;140,26;SOFARL175P200;"SOFA ROULEAU P200 - 1.75x30m - Ep.30mm";140,26;
1041;CCRLX;m2;112,21;91,17;84,16;126,23;140,26;SOFARL185P200;"SOFA ROULEAU P200 - 1.85x30m - Ep.30mm";140,26;
1042;CCRLX;m2;33,38;27,12;25,04;37,56;41,73;IDSSHEET3MM1P106;"IDSSHEET RL FACE LISSE/IMPRESSION TOILE 1 PLI - 1.06x100m-Ep.3mm";41,73;
1043;CCRLX;m2;33,38;27,12;25,04;37,56;41,73;IDSSHEET3MM1P200;"IDSSHEET RL FACE LISSE /IMPRESSION TOILE 1PLI - 2x50m - Ep.3mm";41,73;
1044;CCRLX;m2;53,54;43,50;40,16;60,24;66,93;IDSSHEET5MM2P100;"IDSSHEET RL - FACE LISSE/IMPRESSION TOILE 1 PLI - 1x100m - Ep.5mm";66,93;
