REF;DESIGN;POIDS;UNITE;CATEGORIE;PRIX;ECOTAXE;NOTE;SCORE;IMAGE;URL
BLA5;C/C BLACK STAR ROULEAU - 1.40x5m - Ep.25mm;28.750000;3;ACCESSOIRE;365.360000;0.300000;A;https://sevetys.fr/_next/image/?url=https%3A%2F%2Fcharming-angel-5ca83bf286.media.strapiapp.com%2FChat_europeen_573af6e71d.webp&w=1920&q=75
NT415BY6191;NT415 TAPIS ANTIFATIGUE NOIR/JAUNE - 61x91cm - Ep.14.3mm;3.460000;1;PLATAPIS;69.440000;0.460000;0.000000;
NT415BY91152;NT415 TAPIS ANTIFATIGUE NOIR/JAUNE - 91x152cm - Ep.14.3mm;8.620000;1;PLATAPIS;173.390000;0.460000;NULL;NULL
NT415BY912290;NT415 ROULEAU ANTIFATIGUE NOIR/JAUNE - 0.91x22.90m - Ep.14.3mm;5.210000;2;PLARLX;87.750000;0.460000;0.000000;
NT415BY912290COUP;NT415 ROULEAU ANTIFATIGUE NOIR/JAUNE - Larg 0.91m - Ep.14.3mm - coupe;5.210000;2;PLARLX;114.070000;0.460000;NULL;NULL
NT415B6191;NT415 TAPIS ANTIFATIGUE NOIR - 61x91cm - Ep.14.3mm;3.460000;1;PLATAPIS;69.440000;0.460000;NULL;NULL
NT415B91152;NT415 TAPIS ANTIFATIGUE NOIR - 91x152cm - Ep.14.3mm;8.620000;1;PLATAPIS;173.390000;0.460000;NULL;NULL
NT420GM6191;NT420 TAPIS LABORATOIRE GRIS MARBRE - 61x91cm - Ep.12.7mm ;3.520000;1;PLATAPIS;90.520000;0.460000;NULL;NULL
NT427B61;NT427 ROULEAU ANTIFATIGUE NOIR - 0.61x18.30m - Ep.9.4mm;1.480000;2;PLARLX;28.440000;0.190000;NULL;NULL
NT427B61COUP;NT427 ROULEAU ANTIFATIGUE NOIR - Larg 0.61m - Ep.9.4mm - coupe/ml;1.480000;2;PLARLX;0.000000;0.190000;NULL;NULL
NT427B91;NT427 ROULEAU ANTIFATIGUE NOIR - 0.91x18.30m - Ep.9.4mm;2.650000;2;PLARLX;42.670000;0.190000;NULL;NULL
